2020-04-20 10:34:30 install php-cli-prompt:all <none> 1.0.3+dfsg-1
2020-04-20 10:34:30 status half-installed php-cli-prompt:all 1.0.3+dfsg-1
2020-04-20 10:34:30 status unpacked php-cli-prompt:all 1.0.3+dfsg-1
2020-04-20 10:34:30 status unpacked php-cli-prompt:all 1.0.3+dfsg-1
2020-04-20 10:34:30 install composer:all <none> 1.6.3-1
2020-04-20 10:34:30 status half-installed composer:all 1.6.3-1
2020-04-20 10:34:30 status unpacked composer:all 1.6.3-1
2020-04-20 10:34:30 status unpacked composer:all 1.6.3-1
2020-04-20 10:34:31 startup packages configure
2020-04-20 10:34:31 configure php-psr-log:all 1.0.2-1 <none>
2020-04-20 10:34:31 status unpacked php-psr-log:all 1.0.2-1
2020-04-20 10:34:31 status half-configured php-psr-log:all 1.0.2-1
2020-04-20 10:34:31 status installed php-psr-log:all 1.0.2-1
2020-04-20 10:34:31 configure php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1 <none>
2020-04-20 10:34:31 status unpacked php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status half-configured php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status installed php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 configure php-composer-ca-bundle:all 1.1.0-1 <none>
2020-04-20 10:34:31 status unpacked php-composer-ca-bundle:all 1.1.0-1
2020-04-20 10:34:31 status half-configured php-composer-ca-bundle:all 1.1.0-1
2020-04-20 10:34:31 status installed php-composer-ca-bundle:all 1.1.0-1
2020-04-20 10:34:31 configure php-json-schema:all 5.2.6-1 <none>
2020-04-20 10:34:31 status unpacked php-json-schema:all 5.2.6-1
2020-04-20 10:34:31 status half-configured php-json-schema:all 5.2.6-1
2020-04-20 10:34:31 status installed php-json-schema:all 5.2.6-1
2020-04-20 10:34:31 configure php-composer-semver:all 1.4.2-1 <none>
